getgid,getrandom,access,getdents64,fcntl,write,getcwd,geteuid,execve,dup,mmap,prctl,gettid,print,ioctl,openat,getuid,getegid,brk,pread64,isSorted,futex,close,exit_group,CPU Time (seconds)
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,10,4,0,1,37,1,0.01
1,2,1,18,1,5,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,0,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.02
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.03
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.01
1,2,1,18,1,1,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.58
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.07
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,27,4,0,18,215,1,0.02
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.45
1,2,1,18,1,1,2,1,1,3,27,0,0,0,28,37,1,1,7,4,0,1,37,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,1,18,216,1,0.09
1,4,2,48,1,4,3,1,1,3,126,6,1,0,142,214,1,1,29,4,0,18,215,1,1.91
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.01
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,7,4,0,1,37,1,0.34
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.07
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,27,4,0,18,216,1,0.64
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,2.3
1,4,2,48,3,4,3,1,1,3,126,6,1,0,150,214,1,1,28,4,0,18,216,1,0.01
1,2,1,18,1,0,2,1,1,3,27,0,0,0,24,37,1,1,10,4,0,1,37,1,0.93
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.68
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,0.78
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,28,4,0,18,216,1,0.08
1,4,2,48,3,4,3,1,1,3,126,6,1,0,146,214,1,1,29,4,0,18,216,1,0.09
1,4,2,48,3,4,3,1,1,3,126,6,1,1,146,214,1,1,28,4,0,18,216,1,1.9
